"ind","nqueens","mutate"
72,6,0.01
100,6,0.01
72,6,0.01
72,6,0.01
116,6,0.01
72,6,0.01
116,6,0.01
72,6,0.01
72,6,0.01
100,6,0.01
72,6,0.05
116,6,0.05
116,6,0.05
110,6,0.05
116,6,0.05
72,6,0.05
72,6,0.05
72,6,0.05
116,6,0.05
72,6,0.05
72,6,0.1
72,6,0.1
110,6,0.1
72,6,0.1
116,6,0.1
72,6,0.1
116,6,0.1
116,6,0.1
116,6,0.1
116,6,0.1
72,6,0.25
72,6,0.25
72,6,0.25
100,6,0.25
116,6,0.25
72,6,0.25
100,6,0.25
72,6,0.25
72,6,0.25
72,6,0.25
72,6,0.5
116,6,0.5
72,6,0.5
72,6,0.5
72,6,0.5
72,6,0.5
72,6,0.5
72,6,0.5
72,6,0.5
116,6,0.5
72,6,0.75
72,6,0.75
116,6,0.75
116,6,0.75
72,6,0.75
116,6,0.75
72,6,0.75
100,6,0.75
100,6,0.75
72,6,0.75
72,6,0.9
72,6,0.9
72,6,0.9
72,6,0.9
100,6,0.9
116,6,0.9
116,6,0.9
72,6,0.9
72,6,0.9
72,6,0.9
100,6,1
72,6,1
100,6,1
72,6,1
100,6,1
72,6,1
72,6,1
116,6,1
116,6,1
72,6,1
128,8,0.01
128,8,0.01
128,8,0.01
128,8,0.01
202,8,0.01
176,8,0.01
128,8,0.01
128,8,0.01
128,8,0.01
176,8,0.01
202,8,0.05
128,8,0.05
202,8,0.05
202,8,0.05
128,8,0.05
128,8,0.05
202,8,0.05
128,8,0.05
202,8,0.05
128,8,0.05
128,8,0.1
202,8,0.1
202,8,0.1
128,8,0.1
128,8,0.1
202,8,0.1
176,8,0.1
128,8,0.1
176,8,0.1
202,8,0.1
194,8,0.25
128,8,0.25
200,8,0.25
128,8,0.25
202,8,0.25
128,8,0.25
202,8,0.25
128,8,0.25
202,8,0.25
128,8,0.25
128,8,0.5
202,8,0.5
176,8,0.5
202,8,0.5
128,8,0.5
128,8,0.5
128,8,0.5
202,8,0.5
202,8,0.5
202,8,0.5
128,8,0.75
128,8,0.75
202,8,0.75
128,8,0.75
176,8,0.75
194,8,0.75
202,8,0.75
128,8,0.75
128,8,0.75
128,8,0.75
128,8,0.9
202,8,0.9
128,8,0.9
128,8,0.9
128,8,0.9
128,8,0.9
128,8,0.9
202,8,0.9
202,8,0.9
202,8,0.9
128,8,1
202,8,1
128,8,1
128,8,1
128,8,1
128,8,1
128,8,1
202,8,1
128,8,1
202,8,1
258,9,0.01
162,9,0.01
258,9,0.01
162,9,0.01
258,9,0.01
258,9,0.01
258,9,0.01
162,9,0.01
222,9,0.01
222,9,0.01
258,9,0.05
162,9,0.05
162,9,0.05
162,9,0.05
162,9,0.05
258,9,0.05
162,9,0.05
258,9,0.05
222,9,0.05
258,9,0.05
258,9,0.1
162,9,0.1
258,9,0.1
258,9,0.1
258,9,0.1
258,9,0.1
162,9,0.1
162,9,0.1
162,9,0.1
222,9,0.1
258,9,0.25
258,9,0.25
258,9,0.25
162,9,0.25
258,9,0.25
252,9,0.25
258,9,0.25
222,9,0.25
256,9,0.25
258,9,0.25
222,9,0.5
258,9,0.5
258,9,0.5
222,9,0.5
162,9,0.5
258,9,0.5
258,9,0.5
162,9,0.5
258,9,0.5
258,9,0.5
258,9,0.75
258,9,0.75
244,9,0.75
162,9,0.75
258,9,0.75
258,9,0.75
222,9,0.75
258,9,0.75
258,9,0.75
258,9,0.75
258,9,0.9
258,9,0.9
162,9,0.9
258,9,0.9
258,9,0.9
258,9,0.9
258,9,0.9
258,9,0.9
222,9,0.9
258,9,0.9
162,9,1
258,9,1
258,9,1
162,9,1
258,9,1
258,9,1
162,9,1
258,9,1
258,9,1
258,9,1
320,10,0.01
320,10,0.01
320,10,0.01
320,10,0.01
320,10,0.01
320,10,0.01
320,10,0.01
320,10,0.01
320,10,0.01
320,10,0.01
320,10,0.05
320,10,0.05
320,10,0.05
320,10,0.05
320,10,0.05
200,10,0.05
320,10,0.05
276,10,0.05
320,10,0.05
320,10,0.05
320,10,0.1
320,10,0.1
200,10,0.1
320,10,0.1
320,10,0.1
320,10,0.1
320,10,0.1
320,10,0.1
200,10,0.1
320,10,0.1
200,10,0.25
320,10,0.25
320,10,0.25
200,10,0.25
320,10,0.25
320,10,0.25
200,10,0.25
320,10,0.25
200,10,0.25
200,10,0.25
320,10,0.5
276,10,0.5
320,10,0.5
320,10,0.5
276,10,0.5
200,10,0.5
200,10,0.5
320,10,0.5
320,10,0.5
320,10,0.5
200,10,0.75
320,10,0.75
320,10,0.75
320,10,0.75
320,10,0.75
320,10,0.75
320,10,0.75
