"ind","nqueens","mutate"
72,6,0.01
72,6,0.01
352,6,0.01
317,6,0.01
807,6,0.01
317,6,0.01
212,6,0.01
317,6,0.01
492,6,0.01
1087,6,0.01
72,6,0.05
527,6,0.05
352,6,0.05
492,6,0.05
527,6,0.05
282,6,0.05
72,6,0.05
72,6,0.05
1052,6,0.05
177,6,0.05
107,6,0.1
212,6,0.1
492,6,0.1
142,6,0.1
632,6,0.1
72,6,0.1
72,6,0.1
387,6,0.1
107,6,0.1
72,6,0.1
142,6,0.25
107,6,0.25
177,6,0.25
72,6,0.25
212,6,0.25
107,6,0.25
212,6,0.25
492,6,0.25
352,6,0.25
352,6,0.25
212,6,0.5
72,6,0.5
177,6,0.5
72,6,0.5
107,6,0.5
457,6,0.5
912,6,0.5
842,6,0.5
1297,6,0.5
72,6,0.5
1017,6,0.75
72,6,0.75
142,6,0.75
282,6,0.75
107,6,0.75
212,6,0.75
177,6,0.75
317,6,0.75
842,6,0.75
72,6,0.75
72,6,0.9
107,6,0.9
247,6,0.9
352,6,0.9
282,6,0.9
142,6,0.9
247,6,0.9
72,6,0.9
2102,6,0.9
247,6,0.9
352,6,1
72,6,1
772,6,1
247,6,1
912,6,1
72,6,1
177,6,1
457,6,1
492,6,1
772,6,1
1640,8,0.01
1577,8,0.01
632,8,0.01
380,8,0.01
569,8,0.01
128,8,0.01
2963,8,0.01
1073,8,0.01
254,8,0.01
128,8,0.01
254,8,0.05
569,8,0.05
128,8,0.05
317,8,0.05
191,8,0.05
884,8,0.05
1892,8,0.05
128,8,0.05
1262,8,0.05
632,8,0.05
1262,8,0.1
758,8,0.1
317,8,0.1
1262,8,0.1
191,8,0.1
128,8,0.1
317,8,0.1
2333,8,0.1
569,8,0.1
128,8,0.1
506,8,0.25
254,8,0.25
1199,8,0.25
3089,8,0.25
128,8,0.25
632,8,0.25
128,8,0.25
317,8,0.25
5924,8,0.25
191,8,0.25
380,8,0.5
821,8,0.5
128,8,0.5
758,8,0.5
380,8,0.5
128,8,0.5
