"ind","nqueens","mutate","model"
20,4,0.1,"allbut2"
60,4,0.1,"allbut2"
20,4,0.1,"allbut2"
20,4,0.1,"allbut2"
20,4,0.1,"allbut2"
80,4,0.1,"allbut2"
60,4,0.1,"allbut2"
40,4,0.1,"allbut2"
20,4,0.1,"allbut2"
20,4,0.1,"allbut2"
40,4,0.1,"allbut2"
20,4,0.1,"allbut2"
60,4,0.1,"allbut2"
20,4,0.1,"allbut2"
40,4,0.1,"allbut2"
20,4,0.1,"allbut2"
20,4,0.1,"allbut2"
20,4,0.1,"allbut2"
20,4,0.1,"allbut2"
60,4,0.1,"allbut2"
20,4,0.1,"allbut2"
20,4,0.1,"allbut2"
80,4,0.1,"allbut2"
60,4,0.1,"allbut2"
40,4,0.1,"allbut2"
40,4,0.25,"allbut2"
20,4,0.25,"allbut2"
20,4,0.25,"allbut2"
20,4,0.25,"allbut2"
40,4,0.25,"allbut2"
40,4,0.25,"allbut2"
40,4,0.25,"allbut2"
80,4,0.25,"allbut2"
60,4,0.25,"allbut2"
60,4,0.25,"allbut2"
40,4,0.25,"allbut2"
120,4,0.25,"allbut2"
60,4,0.25,"allbut2"
60,4,0.25,"allbut2"
20,4,0.25,"allbut2"
80,4,0.25,"allbut2"
20,4,0.25,"allbut2"
100,4,0.25,"allbut2"
20,4,0.25,"allbut2"
40,4,0.25,"allbut2"
120,4,0.25,"allbut2"
20,4,0.25,"allbut2"
20,4,0.25,"allbut2"
20,4,0.25,"allbut2"
60,4,0.25,"allbut2"
20,4,0.5,"allbut2"
40,4,0.5,"allbut2"
40,4,0.5,"allbut2"
60,4,0.5,"allbut2"
40,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.5,"allbut2"
180,4,0.5,"allbut2"
40,4,0.5,"allbut2"
20,4,0.5,"allbut2"
60,4,0.5,"allbut2"
40,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.5,"allbut2"
40,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.5,"allbut2"
40,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.5,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
80,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
40,4,0.75,"allbut2"
40,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
40,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
20,4,0.75,"allbut2"
40,4,0.75,"allbut2"
40,4,0.75,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
60,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
40,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
40,4,0.9,"allbut2"
40,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,0.9,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
40,4,1,"allbut2"
40,4,1,"allbut2"
80,4,1,"allbut2"
20,4,1,"allbut2"
40,4,1,"allbut2"
80,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
40,4,1,"allbut2"
20,4,1,"allbut2"
40,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
40,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
20,4,1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
50,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
250,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.1,"allbut2"
50,5,0.1,"allbut2"
25,5,0.1,"allbut2"
25,5,0.25,"allbut2"
25,5,0.25,"allbut2"
25,5,0.25,"allbut2"
25,5,0.25,"allbut2"
25,5,0.25,"allbut2"
25,5,0.25,"allbut2"
25,5,0.25,"allbut2"
25,5,0.25,"allbut2"
50,5,0.25,"allbut2"
50,5,0.25,"allbut2"
25,5,0.25,"allbut2"
50,5,0.25,"allbut2"
50,5,0.25,"allbut2"
25,5,0.25,"allbut2"
25,5,0.25,"allbut2"
25,5,0.25,"allbut2"
