"ind","nqueens","mutate","model"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.01,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.05,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.1,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.25,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.5,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.75,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,0.9,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
32,4,1,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.01,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.05,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.1,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.25,"half"
50,5,0.5,"half"
