"ind","nqueens","mutate","model"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.01,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
47,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
227,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
47,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.05,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
47,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.1,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
77,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.25,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
32,4,0.5,"tourn"
47,4,0.5,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.75,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,0.9,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
47,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
47,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
32,4,1,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
50,5,0.01,"tourn"
74,5,0.01,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
74,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.05,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.1,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.25,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
50,5,0.5,"tourn"
